time,min_bc_sequence,q1_bc_sequence,median_bc_sequence,q3_bc_sequence,min_bcC_sequence,q1_bcC_sequence,median_bcC_sequence,q3_bcC_sequence,min_bcG_sequence,q1_bcG_sequence,median_bcG_sequence,q3_bcG_sequence,min_EGbc_sequence,q1_EGbc_sequence,median_EGbc_sequence,q3_EGbc_sequence,min_EGbcC_sequence,q1_EGbcC_sequence,median_EGbcC_sequence,q3_EGbcC_sequence
5,159,613.25,1602.5,2209.5,105,261,588.5,1004.25,1,21.75,97.5,160.25,4,11,36,351,0,1.25,3,22.75
10,170,1127.75,1988.5,2911.5,76,255.5,618.5,1027,0,30.25,68,140,5,24.75,92,196.75,0,2,2.5,10
15,7,934.5,1102,1816,4,387.5,519,947,1,26.75,73,120.75,3,14.5,26.5,192.75,0,2,3,38.25
20,13,467.75,869.5,1746.75,10,182.5,324.5,808.25,1,11.25,25.5,123.75,2,10.25,17.5,115.25,0,1,2,5.75
25,178,805,1383.5,2204,9,260.25,544,1145,0,23.5,114,157,7,14,27,82.25,0,2,4,21
30,8,1460.75,2036,2982.25,5,292.5,805,1036.25,0,58.25,86,157.5,2,27.5,74,514.25,0,1,2.5,15.75
35,42,441.75,1324,2078.25,25,133.5,279.5,800.5,1,10.5,66,114.5,1,9,19,203.5,1,2,3.5,15.75
40,5,345.25,1139.5,1866.75,3,153.25,213.5,879.5,0,16.5,27,62.25,2,12.25,20,126.25,0,2,7.5,25.25
45,471,1052.25,1351,2511.75,84,259.5,565.5,994.75,7,26.75,86,146.25,10,14,27.5,394.25,0,1,2,42
50,16,583.5,1045.5,2022.5,8,226.75,565,1065.5,0,19.5,49.5,116.75,6,10,20.5,229,0,1,2.5,15.25
55,139,573.25,1317.5,2176.5,29,178.75,429.5,824.75,0,9.75,46.5,137.25,1,12.25,23,104.25,0,1.25,2.5,3.75
60,320,1024.5,1470,2481,42,356,653,1087.75,9,30,73.5,108,4,14.25,29,117,0,1,4,20.75
65,160,1066.25,1584,2044.5,84,483.5,752.5,938.25,0,44,77,126.5,1,16.5,29,123.5,0,2,3,8.25
70,14,773.75,1316,1697.5,9,240,621,813.75,1,26.75,90.5,120.5,5,13.75,25,107.25,1,1,1,4.75
75,164,319.5,850.5,1448.25,69,171.75,278.5,746.25,0,9.25,27,110.5,1,11.75,16.5,41.5,0,1,3.5,16
80,12,477.5,1498.5,1739.75,7,170.75,606.5,856.25,0,28,56,93.5,1,14,29,238.5,1,1.75,3,7.25
85,6,553.25,1248,2753.5,3,175.25,357.5,914.25,0,18.25,66.5,118.25,2,11.25,23.5,285.75,0,1.75,3,14
90,162,713.25,1415.5,1946.75,113,156.25,451.5,823,0,22,39.5,149.5,2,16.25,49,86.5,0,1,3,12.5
