Time,IRP Operation,FSF Operation,FIO Operation,IRP Flags,IRP Major Opn,IRP Minor Opn,IRP Status,File Object,File Accesed,Buffer Length,Entropy
5,95105.44444,16580.05556,12641.16667,19.5,19.16666667,3.888888889,11.11111111,1647.944444,3107.888889,6006.666667,0.077715366
10,154186.6667,21995.38889,19205.55556,19.72222222,18.77777778,4.055555556,9.5,2762.888889,3715,5870.444444,0.099077504
15,159284.5,20236.38889,18093.5,21.94444444,19.27777778,4.333333333,10.88888889,3057.555556,3561.5,7886,0.106175435
20,170579.6111,26552.11111,19043.77778,24.38888889,20.33333333,4.5,10.94444444,2937,3678.166667,7837.777778,0.110486949
25,192585.2778,23282,19361.94444,23.33333333,19.44444444,4.277777778,9.944444444,2880.5,3172.5,10600.88889,0.114022303
30,152795.6111,20945.16667,15626.22222,23.38888889,19.94444444,4.388888889,9.5,3231.444444,3343.5,11618.55556,0.115030242
35,136015.2222,18448.61111,14508.5,23.44444444,19.44444444,4.388888889,9.222222222,2743.111111,3376.388889,15555.77778,0.118999098
40,101721.8889,14671.22222,10342.11111,22.27777778,19.05555556,4.111111111,8.5,1874.111111,2635.444444,29686.22222,0.120818363
45,134253.3333,17685.27778,13290.11111,22.77777778,19.72222222,4.222222222,9.111111111,2110.944444,3022.333333,32414.16667,0.126018854
50,111460.5,15228.55556,11812.38889,22.61111111,19.27777778,4.222222222,8.555555556,1897,2660.444444,35062.33333,0.132557584
55,96649.66667,14064.11111,10546.72222,22.05555556,19,3.944444444,8.166666667,1264.777778,2130.388889,23493.22222,0.139152213
60,96399.44444,15060.05556,10785.5,22.66666667,19.16666667,4.277777778,8.833333333,1290.388889,2235.222222,24979.44444,0.140230825
65,92902.14286,14512.85714,10470.64286,22.42857143,18.85714286,4.142857143,8.857142857,1135,1998.857143,19307.14286,0.12515151
70,122964.7143,17363,13571.14286,22.28571429,19,4.214285714,8.642857143,1178.785714,2194,17405.28571,0.124535446
75,123818.2143,19154.21429,18029.85714,22.21428571,19.14285714,4.071428571,9.071428571,1902.142857,3396.142857,22942.71429,0.140094842
80,107306.3571,19960,15745.21429,20.21428571,18.35714286,4,7.785714286,1859.571429,3312,29612.85714,0.155618921
85,84835.78571,13308,10499.14286,20.71428571,18.35714286,4.142857143,8.714285714,1928.357143,2108.357143,37435.42857,0.161168881
90,92804.14286,12171.5,10134.42857,20.78571429,18.42857143,4.285714286,8.857142857,1372.571429,1667.571429,35496.28571,0.130856396
